020504B                 135.54     -3.62
201012201841A            59.17     28.40
201102212351A           172.71    -43.60
200510251940A           146.17     -7.21
200604011002A           121.28     22.87
200505100109A           103.14     -6.23
200501181409A           144.87     42.95
070804A                 151.30     47.20
200601040832A          -112.12     28.16
122604N                  94.16      2.79
201003160304A           -73.07    -36.40
200912310923A          -150.98    -59.40
011501C                  78.36    -40.34
200707170939A          -177.74    -26.21
050103C                 122.70     -7.21
111304B                 -63.20    -26.83
030903A                 130.99     -6.82
122103B                 -20.60     -0.77
110700A                 -29.88    -55.63
200802041701A           -70.04    -20.17
053002C                 168.99    -19.14
201108201655A           168.14    -18.36
201310312303A           -71.56    -30.30
080100I                  78.42    -38.76
122100B                 154.43     -5.25
200904060132A            13.33     42.33
201003042239A           -68.33    -22.23
200603311321A          -176.82    -29.61
201302060123A           164.88    -11.18
200707252337A            92.52      7.16
200901240901A          -179.11    -19.58
200501281546A           -81.16     -1.09
